1_level,2_level,3_level,4_level,5_level,sub_1,year,subCategory,winner,object,id,primaryContext,secondaryContext,primaryContextType,secondaryContextType,url,pub_date
film,festivals,Berlin International Film Festival,Golden Bear,,,1975,,1,Adoption,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1976,,1,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1977,,1,The Ascent,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1978,,1,Ascensor,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1978,,1,Las truchas,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1978,,1,What Max Said,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1979,,1,David,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1980,,1,Heartland,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1980,,1,Palermo or Wolfsburg,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1981,,1,"Deprisa, deprisa",,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1982,,1,Veronika Voss,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1983,,1,Ascendancy,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1983,,1,La colmena,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1984,,1,Love Streams,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1985,,1,Wetherby,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1985,,1,The Woman and the Stranger,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1986,,1,Stammheim,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1987,,1,The Theme,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1988,,1,Red Sorghum,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
